"","ID","Gender","Username","text","description","combi","M_frequency","sum","male_prob","gender_predicted"
"62",62,0,"peggiarnold","edmyers6417 stacydmomof5 bugslayer57 seanhannity surferdi kathyannbryant coolczech1 happy hump day guys hope every1 has a gr8 one kathyannbryant stacydmomof5 edmyers6417 bugslayer57 seanhannity surferdi coolczech1 gm kathy hope aaron s thriving in h s environment","reformed liberal product of miami nyc san francisco lots of head tapes to erase lnyhbt","reformed liberal product of miami nyc san francisco lots of head tapes to erase lnyhbt edmyers6417 stacydmomof5 bugslayer57 seanhannity surferdi kathyannbryant coolczech1 happy hump day guys hope every1 has a gr8 one kathyannbryant stacydmomof5 edmyers6417 bugslayer57 seanhannity surferdi coolczech1 gm kathy hope aaron s thriving in h s environment",25,56,0.446428571428571,0
"63",63,0,"thatonecoolgirl","i ve been sitting in this fucking pharmacy drive thru for at least 15mins i ve been in the same spot the whole time imnextinlinefuck lets top it off with cranky baby in the backseat why do ppl take fucking forever moveurfuckingass","just ask haha","just ask haha i ve been sitting in this fucking pharmacy drive thru for at least 15mins i ve been in the same spot the whole time imnextinlinefuck lets top it off with cranky baby in the backseat why do ppl take fucking forever moveurfuckingass",21,42,0.5,1
"64",64,0,"LawlorKelly","joesantagato it s slow for the east coast 4 15am fuck a nap during the day sleepingin","3 12 11","3 12 11 joesantagato it s slow for the east coast 4 15am fuck a nap during the day sleepingin",3,13,0.230769230769231,0
"65",65,1,"rjholt2","rt studentsbbc collide with ed newton i don usually say this may be the most surprising thing you have ever seen tell collide with ed newton i don t usually say this may be the most surprising thing you have ever seen tell","christ follower father dad saint pastor of students at biltmore jr guitar guy hiker and experience junkie","christ follower father dad saint pastor of students at biltmore jr guitar guy hiker and experience junkie rt studentsbbc collide with ed newton i don usually say this may be the most surprising thing you have ever seen tell collide with ed newton i don t usually say this may be the most surprising thing you have ever seen tell",27,41,0.658536585365854,1
"66",66,0,"LABride","my mother knows my love language crunchy and creamy yummy dad asked why we were going to see bette middler tomorrow i think he is confused with bethmoorelpm lol","i m a 20 something newly wed teacher i love god my husband my crazy dachshunds clothing food diy projects that never seem to get finished and traveling","i m a 20 something newly wed teacher i love god my husband my crazy dachshunds clothing food diy projects that never seem to get finished and traveling my mother knows my love language crunchy and creamy yummy dad asked why we were going to see bette middler tomorrow i think he is confused with bethmoorelpm lol",34,73,0.465753424657534,0
"67",67,1,"TheBigRican","time to grow gnight nolanjill happy hump day to you too","ifbb pro bodybuilder probody solutions athlete and air force member stationed at maxwell afb al","ifbb pro bodybuilder probody solutions athlete and air force member stationed at maxwell afb al time to grow gnight nolanjill happy hump day to you too",14,28,0.5,1
"68",68,1,"AndrewTheMild","i never seen a movie character use a chainsaw to actually cut wood i sharpen the ass end of my pencils so i can dual wield","i eat after midnight all the time never did me any harm","i eat after midnight all the time never did me any harm i never seen a movie character use a chainsaw to actually cut wood i sharpen the ass end of my pencils so i can dual wield",16,28,0.571428571428571,1
"69",69,1,"rickmitch87","rt ridebbride let s go giants clap clap clap clap clap let s go giants clap clap clap clap clap let s go gian laskey19 sf brit justme2 nickibabylove hunter pence mvpence great catch","first memory of life walking in to our living room in 1962 and seeing the green grass of candlestick during the world series on our first color tv","first memory of life walking in to our living room in 1962 and seeing the green grass of candlestick during the world series on our first color tv rt ridebbride let s go giants clap clap clap clap clap let s go giants clap clap clap clap clap let s go gian laskey19 sf brit justme2 nickibabylove hunter pence mvpence great catch",16,33,0.484848484848485,0
"70",70,1,"MettaNikita","gift exchange with colleagues i was right this won t work out","a twist in my story","a twist in my story gift exchange with colleagues i was right this won t work out",10,16,0.625,1
"71",71,0,"buttons30","crystalchappell gm crystal hope your friday goes well xo ff rt docgiani julieluvsotalia medasst28 rkroepke just realized it s friday lol so here s a ff","retired teacher and avid crystal chappell fan since 1990","retired teacher and avid crystal chappell fan since 1990 crystalchappell gm crystal hope your friday goes well xo ff rt docgiani julieluvsotalia medasst28 rkroepke just realized it s friday lol so here s a ff",18,48,0.375,0
"72",72,0,"NVICLoeDown","nvic cindy loveland amp californians against ab2109 posted we need some more people on this page to go like tune in now","nvic is a 501 c 3 charitable non profit educational organization founded in 1982 nvic launched the vaccine safety and informed consent movement in america","nvic is a 501 c 3 charitable non profit educational organization founded in 1982 nvic launched the vaccine safety and informed consent movement in america nvic cindy loveland amp californians against ab2109 posted we need some more people on this page to go like tune in now",20,47,0.425531914893617,0
"73",73,1,"tonyleys","customers beg state commissioner to curb wellmark s highway robbery insurer says 12 13 rate hike is necessary wellmark ceo s pay hits 3 1 million as customers face big premium hikes his pay jumped 138 percent from 03 to 2011","des moines register reporter","des moines register reporter customers beg state commissioner to curb wellmark s highway robbery insurer says 12 13 rate hike is necessary wellmark ceo s pay hits 3 1 million as customers face big premium hikes his pay jumped 138 percent from 03 to 2011",6,13,0.461538461538462,0
"74",74,0,"1momof5","the challenges of working at home and taking a day off new post the challenges of working at home and taking a day off beblogalicious digitalsisterhd daniellericks blogalicious11","i blog i tweet i take lots of pictures oh and i have 5 kids twitter take me away","i blog i tweet i take lots of pictures oh and i have 5 kids twitter take me away the challenges of working at home and taking a day off new post the challenges of working at home and taking a day off beblogalicious digitalsisterhd daniellericks blogalicious11",15,47,0.319148936170213,0
"75",75,1,"RayWoodson680","roland 212 knbr knbrmurph warriors they will be on wed ok now he s just showing off human torch","knbr sports anchor host","knbr sports anchor host roland 212 knbr knbrmurph warriors they will be on wed ok now he s just showing off human torch",27,51,0.529411764705882,1
"76",76,0,"tinselkorey","in less then 24hrs i ve been to ontario canada michigan indianapolis minnesota and soon arizona koreysandiego sotired seizetheday kimk1722 thank you","just a chick who makes movies music art has opinions thoughts jokes a lot buhahaha","just a chick who makes movies music art has opinions thoughts jokes a lot buhahaha in less then 24hrs i ve been to ontario canada michigan indianapolis minnesota and soon arizona koreysandiego sotired seizetheday kimk1722 thank you",20,41,0.48780487804878,0
"77",77,1,"mjtam","right on track iphoneography igerschicago chicago north clybourn red line cta station more toys to use with my nikon d7000 another maniacal geeky giggle moment","editor of chicagonista com talk show co host of chicagonistalive com new media relations director chitag fair read more http about me mjtam","editor of chicagonista com talk show co host of chicagonistalive com new media relations director chitag fair read more http about me mjtam right on track iphoneography igerschicago chicago north clybourn red line cta station more toys to use with my nikon d7000 another maniacal geeky giggle moment",24,40,0.6,1
"78",78,1,"PendejoJoe","semicharmedlia oh ok yeah that s shitty but i think people with read receipts off are the ones who probably ignore more semicharmedlia i suppose you re right that there s less passive aggression there","contributor for http twop com sexual healer ultra super ironclad tough guy runner asstronaut and night crawler not the x men guy","contributor for http twop com sexual healer ultra super ironclad tough guy runner asstronaut and night crawler not the x men guy semicharmedlia oh ok yeah that s shitty but i think people with read receipts off are the ones who probably ignore more semicharmedlia i suppose you re right that there s less passive aggression there",24,37,0.648648648648649,1
"79",79,0,"NursingNurture","the breastmilk that comes out of a duct that had a milk blister bleb may be thick like spaghetti it is perfectly safe for baby to drink sometimes gravity can help clear a blocked milk duct with baby on his back nurse above him on your hands and knees breastfeeding","lll leader ibclc candidate 2013 mother of 4 breastfed babies including preemie twins breastfeeding advocate crunchy mom jesus lover paleo enthusiast","lll leader ibclc candidate 2013 mother of 4 breastfed babies including preemie twins breastfeeding advocate crunchy mom jesus lover paleo enthusiast the breastmilk that comes out of a duct that had a milk blister bleb may be thick like spaghetti it is perfectly safe for baby to drink sometimes gravity can help clear a blocked milk duct with baby on his back nurse above him on your hands and knees breastfeeding",28,49,0.571428571428571,1
"80",80,1,"diamond83","rt espnmikes college hoop tips at 7pet on espnu 26 games this week highlight is msu unc from aircraft carrier friday rt editoredge before valpo s game read espnandykatz s touching story on the cancer fight of homer and janet drew","espn com college basketball writer","espn com college basketball writer rt espnmikes college hoop tips at 7pet on espnu 26 games this week highlight is msu unc from aircraft carrier friday rt editoredge before valpo s game read espnandykatz s touching story on the cancer fight of homer and janet drew",16,27,0.592592592592593,1
"81",81,1,"leegibsonmusic","someone pass her a guiness amp wish krisfont04 the happiest of birthdays lt i m sure you ve already had at least one by now gt krisfont04 i did say at least ya know have one for me since my taste buds don t care for the stouts","i write sing country music i am country proud of it outdoorsman sarcastic by nature have a phd in duct tape raised in winchester tn love nashville","i write sing country music i am country proud of it outdoorsman sarcastic by nature have a phd in duct tape raised in winchester tn love nashville someone pass her a guiness amp wish krisfont04 the happiest of birthdays lt i m sure you ve already had at least one by now gt krisfont04 i did say at least ya know have one for me since my taste buds don t care for the stouts",53,104,0.509615384615385,1
"82",82,1,"AnswerDave","no kiddin rt hard 8 they showed a fan with a kieschnick 55 jersey earlier find him answerdave saw a geoff jenkins brewers shirsey at miller park today","contributing contributor to yahoo sports big league stew still friend to man and dog","contributing contributor to yahoo sports big league stew still friend to man and dog no kiddin rt hard 8 they showed a fan with a kieschnick 55 jersey earlier find him answerdave saw a geoff jenkins brewers shirsey at miller park today",17,32,0.53125,1
"83",83,0,"kyleyleger","itslow my gut says girl keli h we just opened a separate savings so we could have emergency fund and car otherwise giant big expensive car","wife to my high school sweetheart mommy to a little boy born july 2010 marketing communications manager for valve and instrument company","wife to my high school sweetheart mommy to a little boy born july 2010 marketing communications manager for valve and instrument company itslow my gut says girl keli h we just opened a separate savings so we could have emergency fund and car otherwise giant big expensive car",23,51,0.450980392156863,0
